Public Law Title,FY,Amount,Deflator.Type,Source
Operation and Maintenance,1972,20804e6,Current,Table 6.8 DOD BA By Title
Procurement,1972,17777e6,Current,Table 6.8 DOD BA By Title
RDT&E,1972,7519e6,Current,Table 6.8 DOD BA By Title
Military Construction,1972,1287e6,Current,Table 6.8 DOD BA By Title
Family Housing,1972,86e7,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1972,0,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1972,-106e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1973,23727e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1973,4442e6,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1973,21735e6,Current,Table 6.8 DOD BA By Title
Procurement,1973,17473e6,Current,Table 6.8 DOD BA By Title
RDT&E,1973,796e7,Current,Table 6.8 DOD BA By Title
Military Construction,1973,1356e6,Current,Table 6.8 DOD BA By Title
Family Housing,1973,967e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1973,0,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1973,-105e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1974,24167e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1974,5151e6,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1974,23958e6,Current,Table 6.8 DOD BA By Title
Procurement,1974,17028e6,Current,Table 6.8 DOD BA By Title
RDT&E,1974,8176e6,Current,Table 6.8 DOD BA By Title
Military Construction,1974,1563e6,Current,Table 6.8 DOD BA By Title
Family Housing,1974,1099e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1974,0,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1974,-152e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1975,24963e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1975,6251e6,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1975,26109e6,Current,Table 6.8 DOD BA By Title
Procurement,1975,16698e6,Current,Table 6.8 DOD BA By Title
RDT&E,1975,8572e6,Current,Table 6.8 DOD BA By Title
Military Construction,1975,1927e6,Current,Table 6.8 DOD BA By Title
Family Housing,1975,1157e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1975,158e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1975,-174e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1976,2543e7,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1976,7326e6,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1976,28733e6,Current,Table 6.8 DOD BA By Title
Procurement,1976,20991e6,Current,Table 6.8 DOD BA By Title
RDT&E,1976,9451e6,Current,Table 6.8 DOD BA By Title
Military Construction,1976,236e7,Current,Table 6.8 DOD BA By Title
Family Housing,1976,1229e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1976,135e6,Current,Table 6.8 DOD BA By Title
