FY,Service,Active.or.Civilians,Personnel
1993,Navy and Marine Corps,Civilians,285e3
1994,Navy and Marine Corps,Civilians,269e3
1995,Navy and Marine Corps,Civilians,249e3
1996,Navy and Marine Corps,Civilians,24e4
1997,Navy and Marine Corps,Civilians,223e3
1998,Navy and Marine Corps,Civilians,21e4
1999,Navy and Marine Corps,Civilians,204e3
2000,Navy and Marine Corps,Civilians,197e3
2001,Navy and Marine Corps,Civilians,194e3
2002,Navy and Marine Corps,Civilians,195e3
2003,Navy and Marine Corps,Civilians,198e3
2004,Navy and Marine Corps,Civilians,195e3
2005,Navy and Marine Corps,Civilians,19e4
2006,Navy and Marine Corps,Civilians,189e3
2007,Navy and Marine Corps,Civilians,187e3
2008,Navy and Marine Corps,Civilians,189e3
2009,Navy and Marine Corps,Civilians,197e3
2010,Navy and Marine Corps,Civilians,209e3
2011,Navy and Marine Corps,Civilians,212e3
2012,Navy and Marine Corps,Civilians,213e3
2013,Navy and Marine Corps,Civilians,208e3
2014,Navy and Marine Corps,Civilians,193e3
2015,Navy and Marine Corps,Civilians,199e3
2016,Navy and Marine Corps,Civilians,204e3
2017,Navy and Marine Corps,Civilians,206e3
2018,Navy and Marine Corps,Civilians,209e3
2019,Navy and Marine Corps,Civilians,212e3
1940,Air Force,Civilians,0
1941,Air Force,Civilians,0
1942,Air Force,Civilians,0
1943,Air Force,Civilians,0
1944,Air Force,Civilians,0
1945,Air Force,Civilians,0
1946,Air Force,Civilians,0
1947,Air Force,Civilians,0
1948,Air Force,Civilians,152e3
1949,Air Force,Civilians,166e3
1950,Air Force,Civilians,154e3
1951,Air Force,Civilians,261e3
1952,Air Force,Civilians,31e4
1953,Air Force,Civilians,382e3
1954,Air Force,Civilians,371e3
1955,Air Force,Civilians,397e3
1956,Air Force,Civilians,333e3
1957,Air Force,Civilians,417e3
1958,Air Force,Civilians,373e3
1959,Air Force,Civilians,364e3
1960,Air Force,Civilians,355e3
1961,Air Force,Civilians,346e3
1962,Air Force,Civilians,349e3
1963,Air Force,Civilians,337e3
1964,Air Force,Civilians,322e3
1965,Air Force,Civilians,317e3
1966,Air Force,Civilians,336e3
1967,Air Force,Civilians,349e3
1968,Air Force,Civilians,339e3
1969,Air Force,Civilians,349e3
1970,Air Force,Civilians,328e3
1971,Air Force,Civilians,313e3
1972,Air Force,Civilians,3e5
1973,Air Force,Civilians,288e3
1974,Air Force,Civilians,289e3
1975,Air Force,Civilians,278e3
1976,Air Force,Civilians,262e3
1977,Air Force,Civilians,255e3
1978,Air Force,Civilians,251e3
1979,Air Force,Civilians,245e3
1980,Air Force,Civilians,244e3
1981,Air Force,Civilians,246e3
1982,Air Force,Civilians,248e3
1983,Air Force,Civilians,251e3
1984,Air Force,Civilians,253e3
1985,Air Force,Civilians,264e3
1986,Air Force,Civilians,263e3
1987,Air Force,Civilians,264e3
1988,Air Force,Civilians,253e3
1989,Air Force,Civilians,261e3
1990,Air Force,Civilians,249e3
1991,Air Force,Civilians,233e3
1992,Air Force,Civilians,214e3
1993,Air Force,Civilians,202e3
1994,Air Force,Civilians,196e3
1995,Air Force,Civilians,186e3
1996,Air Force,Civilians,183e3
1997,Air Force,Civilians,18e4
1998,Air Force,Civilians,174e3
1999,Air Force,Civilians,169e3
2000,Air Force,Civilians,163e3
2001,Air Force,Civilians,16e4
2002,Air Force,Civilians,157e3
2003,Air Force,Civilians,159e3
2004,Air Force,Civilians,16e4
2005,Air Force,Civilians,163e3
2006,Air Force,Civilians,167e3
2007,Air Force,Civilians,163e3
2008,Air Force,Civilians,162e3
2009,Air Force,Civilians,164e3
2010,Air Force,Civilians,172e3
2011,Air Force,Civilians,184e3
2012,Air Force,Civilians,178e3
2013,Air Force,Civilians,18e4
2014,Air Force,Civilians,167e3
2015,Air Force,Civilians,166e3
2016,Air Force,Civilians,167e3
2017,Air Force,Civilians,167e3
2018,Air Force,Civilians,177e3
2019,Air Force,Civilians,176e3
1940,Defense Agencies,Civilians,0
1941,Defense Agencies,Civilians,0
1942,Defense Agencies,Civilians,0
1943,Defense Agencies,Civilians,0
