Service,Public Law Title,FY,deflator.type,Amount,source.table,data.notes
Army,Military Construction,1956,Current,32e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Family Housing,1956,Current,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Revolving and Management Funds,1956,Current,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other",1956,Current,-131e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Personnel,1957,Constant,66248e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Operation and Maintenance,1957,Constant,35194e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Procurement,1957,Constant,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,RDT&E,1957,Constant,4589e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Construction,1957,Constant,398e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Family Housing,1957,Constant,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Revolving and Management Funds,1957,Constant,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other",1957,Constant,-785e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Personnel,1957,Current,397e7,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Operation and Maintenance,1957,Current,3132e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Procurement,1957,Current,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,RDT&E,1957,Current,533e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Construction,1957,Current,55e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Family Housing,1957,Current,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Revolving and Management Funds,1957,Current,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other",1957,Current,-114e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Personnel,1958,Constant,59364e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Operation and Maintenance,1958,Constant,35128e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Procurement,1958,Constant,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,RDT&E,1958,Constant,4949e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Construction,1958,Constant,2767e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Family Housing,1958,Constant,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Revolving and Management Funds,1958,Constant,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other",1958,Constant,524e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Personnel,1958,Current,3498e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Operation and Maintenance,1958,Current,3291e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Procurement,1958,Current,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,RDT&E,1958,Current,577e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Construction,1958,Current,365e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Family Housing,1958,Current,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Revolving and Management Funds,1958,Current,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other",1958,Current,77e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Personnel,1959,Constant,56847e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Operation and Maintenance,1959,Constant,33701e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Procurement,1959,Constant,8649e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,RDT&E,1959,Constant,8535e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Construction,1959,Constant,1827e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Family Housing,1959,Constant,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Revolving and Management Funds,1959,Constant,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other",1959,Constant,273e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Personnel,1959,Current,3611e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Operation and Maintenance,1959,Current,3244e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Procurement,1959,Current,1259e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,RDT&E,1959,Current,1111e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Construction,1959,Current,236e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Family Housing,1959,Current,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Revolving and Management Funds,1959,Current,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other",1959,Current,41e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Personnel,1960,Constant,56678e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Operation and Maintenance,1960,Constant,32488e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Procurement,1960,Constant,9504e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,RDT&E,1960,Constant,8217e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Construction,1960,Constant,2276e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Family Housing,1960,Constant,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Revolving and Management Funds,1960,Constant,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other",1960,Constant,395e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Personnel,1960,Current,3667e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Operation and Maintenance,1960,Current,3235e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Procurement,1960,Current,1379e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,RDT&E,1960,Current,1102e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Construction,1960,Current,307e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Family Housing,1960,Current,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Revolving and Management Funds,1960,Current,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other",1960,Current,59e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Personnel,1961,Constant,5663e7,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Operation and Maintenance,1961,Constant,32277e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Procurement,1961,Constant,10194e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,RDT&E,1961,Constant,8494e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Construction,1961,Constant,1368e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Family Housing,1961,Constant,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Revolving and Management Funds,1961,Constant,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other",1961,Constant,92e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Personnel,1961,Current,3705e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Operation and Maintenance,1961,Current,3384e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Procurement,1961,Current,1495e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,RDT&E,1961,Current,1147e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Military Construction,1961,Current,182e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Family Housing,1961,Current,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,Revolving and Management Funds,1961,Current,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other",1961,Current,14e6,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
