source.table,budget.type,deflator.type,public.law.title,FY,amount
tbl.6.01.TOA.by.Public.Law,TOA,constant,OCO.placeholder,1959,0
tbl.6.01.TOA.by.Public.Law,TOA,current,military.personnel,1960,11241000000
tbl.6.01.TOA.by.Public.Law,TOA,current,retired.pay.Defense,1960,693000000
tbl.6.01.TOA.by.Public.Law,TOA,current,OM,1960,10329000000
tbl.6.01.TOA.by.Public.Law,TOA,current,procurement,1960,11137000000
tbl.6.01.TOA.by.Public.Law,TOA,current,RDTE,1960,5476000000
tbl.6.01.TOA.by.Public.Law,TOA,current,MILCON,1960,1350000000
tbl.6.01.TOA.by.Public.Law,TOA,current,family.housing,1960,32000000
tbl.6.01.TOA.by.Public.Law,TOA,current,revolving.and.management.funds,1960,0
tbl.6.01.TOA.by.Public.Law,TOA,current,trust.receipts.and.other,1960,0
tbl.6.01.TOA.by.Public.Law,TOA,current,OCO.placeholder,1960,40257000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,military.personnel,1960,7043000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,retired.pay.Defense,1960,113196000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OM,1960,97799000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,procurement,1960,42136000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,RDTE,1960,10503000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,MILCON,1960,230000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,family.housing,1960,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,revolving.and.management.funds,1960,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,trust.receipts.and.other,1960,449845000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OCO.placeholder,1960,0
tbl.6.01.TOA.by.Public.Law,TOA,current,military.personnel,1961,11356000000
tbl.6.01.TOA.by.Public.Law,TOA,current,retired.pay.Defense,1961,788000000
tbl.6.01.TOA.by.Public.Law,TOA,current,OM,1961,10671000000
tbl.6.01.TOA.by.Public.Law,TOA,current,procurement,1961,14238000000
tbl.6.01.TOA.by.Public.Law,TOA,current,RDTE,1961,6366000000
tbl.6.01.TOA.by.Public.Law,TOA,current,MILCON,1961,1115000000
