Military.Department,FY,Account,Public.Law.Title,Amount,account.categories,Source_Data
Army,2008,Global War on Terror,Procurement,30628000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2003,Base,RDT.E,7559000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2003,Global War on Terror,RDT.E,12000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2004,Base,RDT.E,10217000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2004,Global War on Terror,RDT.E,0,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2004,Other Supplemental,RDT.E,0,other,"FY22 Green Book, tbl 2.1"
Army,2005,Base,RDT.E,10417000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2005,Global War on Terror,RDT.E,39000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2005,Hurricane & Tsunami Relief,RDT.E,0,natural.disaster.or.viral,"FY22 Green Book, tbl 2.1"
Army,2006,Base,RDT.E,11625000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2006,Global War on Terror,RDT.E,68000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2006,Hurricane Relief,RDT.E,0,natural.disaster.or.viral,"FY22 Green Book, tbl 2.1"
Army,2006,Avian Flu Relief,RDT.E,0,natural.disaster.or.viral,"FY22 Green Book, tbl 2.1"
Army,2007,Base,RDT.E,11203000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2007,Global War on Terror,RDT.E,100000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2007,Other Supplemental,RDT.E,0,other,"FY22 Green Book, tbl 2.1"
Army,2008,Base,RDT.E,12297000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2008,Global War on Terror,RDT.E,150000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2003,Base,Military.Construction,2136000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2003,Global War on Terror,Military.Construction,0,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2004,Base,Military.Construction,1731000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2004,Global War on Terror,Military.Construction,162000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2004,Other Supplemental,Military.Construction,0,other,"FY22 Green Book, tbl 2.1"
Army,2005,Base,Military.Construction,2698000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2005,Global War on Terror,Military.Construction,847000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2005,Hurricane & Tsunami Relief,Military.Construction,9000000,natural.disaster.or.viral,"FY22 Green Book, tbl 2.1"
Army,2006,Base,Military.Construction,3404000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2006,Global War on Terror,Military.Construction,187000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2006,Hurricane Relief,Military.Construction,584000000,natural.disaster.or.viral,"FY22 Green Book, tbl 2.1"
Army,2006,Avian Flu Relief,Military.Construction,0,natural.disaster.or.viral,"FY22 Green Book, tbl 2.1"
Army,2007,Base,Military.Construction,6465000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2007,Global War on Terror,Military.Construction,1256000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2007,Other Supplemental,Military.Construction,0,other,"FY22 Green Book, tbl 2.1"
Army,2008,Base,Military.Construction,8344000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2008,Global War on Terror,Military.Construction,1868000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2003,Base,Family..Housing,1362000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2003,Global War on Terror,Family..Housing,0,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2004,Base,Family..Housing,1330000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2004,Global War on Terror,Family..Housing,11000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2004,Other Supplemental,Family..Housing,0,other,"FY22 Green Book, tbl 2.1"
Army,2005,Base,Family..Housing,1528000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2005,Global War on Terror,Family..Housing,0,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2005,Hurricane & Tsunami Relief,Family..Housing,1000000,natural.disaster.or.viral,"FY22 Green Book, tbl 2.1"
Army,2006,Base,Family..Housing,1240000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2006,Global War on Terror,Family..Housing,0,OCO.GWOT,"FY22 Green Book, tbl 2.1"
