source.table,budget.type,deflator.type,FY,major.force.program,amount
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2015,general.purpose.forces,250360000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2016,general.purpose.forces,258926000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2017,general.purpose.forces,267539000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2018,general.purpose.forces,299421000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2019,general.purpose.forces,297656000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2020,general.purpose.forces,304584000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2021,general.purpose.forces,289573000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2022,general.purpose.forces,276702000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2023,general.purpose.forces,0
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2024,general.purpose.forces,0
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2025,general.purpose.forces,0
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2026,general.purpose.forces,0
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1962,C3.intel.and.space,3049000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1963,C3.intel.and.space,3819000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1964,C3.intel.and.space,4292000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1965,C3.intel.and.space,4136000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1966,C3.intel.and.space,4701000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1967,C3.intel.and.space,5075000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1968,C3.intel.and.space,5392000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1969,C3.intel.and.space,5728000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1970,C3.intel.and.space,5463000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1971,C3.intel.and.space,5349000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1972,C3.intel.and.space,5378000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1973,C3.intel.and.space,5707000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1974,C3.intel.and.space,5941000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1975,C3.intel.and.space,6280000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1976,C3.intel.and.space,6623000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1977,C3.intel.and.space,7343000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1978,C3.intel.and.space,7821000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1979,C3.intel.and.space,7981000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1980,C3.intel.and.space,9049000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1981,C3.intel.and.space,11178000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1982,C3.intel.and.space,13769000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1983,C3.intel.and.space,17482000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1984,C3.intel.and.space,20064000000
