Military.Department,FY,Account,Public.Law.Title,Amount,spending.type,Source_Data
Air Force,2007,Global War on Terror,RDT.E,2.24e+08,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2007,Other Supplemental,RDT.E,0,Other Discretionary,"FY17 Green Book, tbl 2.1"
Air Force,2008,Base,RDT.E,2.6261e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2008,Global War on Terror,RDT.E,3.68e+08,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2009,Base,RDT.E,2.6305e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2009,Recovery Act,RDT.E,7.5e+07,Other Discretionary,"FY17 Green Book, tbl 2.1"
Air Force,2009,Global War on Terror,RDT.E,3.6e+07,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2009,Overseas Contingency Ops,RDT.E,-1.27e+08,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2010,Base,RDT.E,2.77e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2010,Overseas Contingency Ops,RDT.E,2.47e+08,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2010,Haiti Earthquake,RDT.E,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Air Force,2005,Base,Military.Construction,1.358e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2005,Global War on Terror,Military.Construction,1.41e+08,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2005,Hurricane & Tsunami Relief,Military.Construction,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Air Force,2006,Base,Military.Construction,1.964e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2006,Global War on Terror,Military.Construction,2.8e+07,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2006,Hurricane Relief,Military.Construction,1.91e+08,Emergency Relief,"FY17 Green Book, tbl 2.1"
Air Force,2006,Avian Flu Relief,Military.Construction,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Air Force,2007,Base,Military.Construction,2.285e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2007,Global War on Terror,Military.Construction,4.3e+07,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2007,Other Supplemental,Military.Construction,0,Other Discretionary,"FY17 Green Book, tbl 2.1"
Air Force,2008,Base,Military.Construction,2.507e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2008,Global War on Terror,Military.Construction,5.82e+08,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2009,Base,Military.Construction,2.591e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2009,Recovery Act,Military.Construction,2.3e+08,Other Discretionary,"FY17 Green Book, tbl 2.1"
Air Force,2009,Global War on Terror,Military.Construction,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2009,Overseas Contingency Ops,Military.Construction,2.82e+08,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2010,Base,Military.Construction,2.317e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2010,Overseas Contingency Ops,Military.Construction,8.81e+08,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2010,Haiti Earthquake,Military.Construction,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Air Force,2005,Base,Family....Housing,1.669e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2005,Global War on Terror,Family....Housing,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2005,Hurricane & Tsunami Relief,Family....Housing,1.1e+07,Emergency Relief,"FY17 Green Book, tbl 2.1"
Air Force,2006,Base,Family....Housing,1.761e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2006,Global War on Terror,Family....Housing,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2006,Hurricane Relief,Family....Housing,3.25e+08,Emergency Relief,"FY17 Green Book, tbl 2.1"
Air Force,2006,Avian Flu Relief,Family....Housing,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Air Force,2007,Base,Family....Housing,1.9e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2007,Global War on Terror,Family....Housing,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2007,Other Supplemental,Family....Housing,0,Other Discretionary,"FY17 Green Book, tbl 2.1"
Air Force,2008,Base,Family....Housing,1.001e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2008,Global War on Terror,Family....Housing,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2009,Base,Family....Housing,9.9e+08,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2009,Recovery Act,Family....Housing,9.7e+07,Other Discretionary,"FY17 Green Book, tbl 2.1"
Air Force,2009,Global War on Terror,Family....Housing,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2009,Overseas Contingency Ops,Family....Housing,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2010,Base,Family....Housing,5.69e+08,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2010,Overseas Contingency Ops,Family....Housing,8e+06,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2010,Haiti Earthquake,Family....Housing,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Air Force,2005,Base,Revolving.Funds...Other,0,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2005,Global War on Terror,Revolving.Funds...Other,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2005,Hurricane & Tsunami Relief,Revolving.Funds...Other,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Air Force,2006,Base,Revolving.Funds...Other,2.12e+08,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2006,Global War on Terror,Revolving.Funds...Other,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2006,Hurricane Relief,Revolving.Funds...Other,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Air Force,2006,Avian Flu Relief,Revolving.Funds...Other,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
Air Force,2007,Base,Revolving.Funds...Other,4.4e+07,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2007,Global War on Terror,Revolving.Funds...Other,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2007,Other Supplemental,Revolving.Funds...Other,0,Other Discretionary,"FY17 Green Book, tbl 2.1"
Air Force,2008,Base,Revolving.Funds...Other,6e+07,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2008,Global War on Terror,Revolving.Funds...Other,5.48e+08,OCO.GWOT,"FY17 Green Book, tbl 2.1"
