Public Law Title,FY,Amount,Deflator.Type,Source
Revolving and Management Funds,2020,1.45e+08,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2020,-6.81e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,2021,1.54531e+11,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2021,NA,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,2021,2.34446e+11,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,2021,1.2417e+11,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,2021,7.1966e+10,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,2021,7.099e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,2021,1.543e+09,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,2021,1.61e+08,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2021,-7.86e+08,Current.Dollars,Table 6.8 DOD BA By Title
