Service,Public Law Title,FY,deflator.type,Amount,source.table,data.notes,source.file
Army,"Trust, Receipts, and Other",1957,Current,-114e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Military Personnel,1958,Constant,56273e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Operation and Maintenance,1958,Constant,34155e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Procurement,1958,Constant,0.0,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,RDT&E,1958,Constant,4794e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Military Construction,1958,Constant,2674e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Family Housing,1958,Constant,0.0,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Revolving and Management Funds,1958,Constant,0.0,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,"Trust, Receipts, and Other",1958,Constant,508e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Military Personnel,1958,Current,3498e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Operation and Maintenance,1958,Current,3291e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Procurement,1958,Current,0.0,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,RDT&E,1958,Current,577e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Military Construction,1958,Current,365e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Family Housing,1958,Current,0.0,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Revolving and Management Funds,1958,Current,0.0,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,"Trust, Receipts, and Other",1958,Current,77e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Military Personnel,1959,Constant,53898e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Operation and Maintenance,1959,Constant,32806e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Procurement,1959,Constant,838e7,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
