FY,Service,Active.or.Civilians,personnel
1995,Defense Agencies,Civilians,147000
1996,Army,Active,491000
1996,Navy,Active,417000
1996,Marine Corps,Active,175000
1996,Air Force,Active,389000
1996,Space Force,Active,0
1996,Full Time Guard and Reserve,Active,66000
1996,Army,Civilians,259000
1996,Navy and Marine Corps,Civilians,240000
1996,Air Force,Civilians,183000
1996,Space Force,Civilians,0
1996,Defense Agencies,Civilians,138000
1997,Army,Active,492000
1997,Navy,Active,396000
1997,Marine Corps,Active,174000
1997,Air Force,Active,378000
1997,Space Force,Active,0
1997,Full Time Guard and Reserve,Active,64000
1997,Army,Civilians,247000
1997,Navy and Marine Corps,Civilians,223000
1997,Air Force,Civilians,180000
1997,Space Force,Civilians,0
1997,Defense Agencies,Civilians,136000
1998,Army,Active,484000
1998,Navy,Active,382000
1998,Marine Corps,Active,173000
1998,Air Force,Active,367000
1998,Space Force,Active,0
1998,Full Time Guard and Reserve,Active,64000
1998,Army,Civilians,237000
1998,Navy and Marine Corps,Civilians,210000
1998,Air Force,Civilians,174000
1998,Space Force,Civilians,0
1998,Defense Agencies,Civilians,126000
1999,Army,Active,479000
1999,Navy,Active,373000
1999,Marine Corps,Active,173000
1999,Air Force,Active,361000
1999,Space Force,Active,0
1999,Full Time Guard and Reserve,Active,65000
1999,Army,Civilians,227000
1999,Navy and Marine Corps,Civilians,204000
1999,Air Force,Civilians,169000
1999,Space Force,Civilians,0
1999,Defense Agencies,Civilians,120000
2000,Army,Active,482000
2000,Navy,Active,373000
2000,Marine Corps,Active,173000
2000,Air Force,Active,356000
2000,Space Force,Active,0
2000,Full Time Guard and Reserve,Active,65000
2000,Army,Civilians,221000
2000,Navy and Marine Corps,Civilians,197000
2000,Air Force,Civilians,163000
2000,Space Force,Civilians,0
2000,Defense Agencies,Civilians,117000
2001,Army,Active,481000
2001,Navy,Active,378000
2001,Marine Corps,Active,173000
2001,Air Force,Active,354000
2001,Space Force,Active,0
2001,Full Time Guard and Reserve,Active,65000
2001,Army,Civilians,220000
2001,Navy and Marine Corps,Civilians,194000
2001,Air Force,Civilians,160000
2001,Space Force,Civilians,0
2001,Defense Agencies,Civilians,113000
2002,Army,Active,487000
2002,Navy,Active,383000
2002,Marine Corps,Active,174000
2002,Air Force,Active,368000
2002,Space Force,Active,0
2002,Full Time Guard and Reserve,Active,66000
2002,Army,Civilians,224000
2002,Navy and Marine Corps,Civilians,195000
2002,Air Force,Civilians,157000
2002,Space Force,Civilians,0
2002,Defense Agencies,Civilians,111000
2003,Army,Active,499000
2003,Navy,Active,382000
2003,Marine Corps,Active,178000
2003,Air Force,Active,375000
2003,Space Force,Active,0
2003,Full Time Guard and Reserve,Active,66000
2003,Army,Civilians,224000
