budget.type,service,source.table,deflator.type,public.law.title,FY,amount
outlays,army,6.16,current,MILPERS,1966,5670000000
outlays,army,6.16,current,O.M.,1966,5098000000
outlays,army,6.16,current,Procurement,1966,5123000000
outlays,army,6.16,current,RDT.E,1966,1507000000
outlays,army,6.16,current,MILCON,1966,1113000000
outlays,army,6.16,current,family.housing,1966,0
outlays,army,6.16,current,revolving.and.management,1966,0
outlays,army,6.16,constant,MILPERS,1966,71522000000
outlays,army,6.16,constant,O.M.,1966,42156000000
outlays,army,6.16,constant,Procurement,1966,34271000000
outlays,army,6.16,constant,RDT.E,1966,10577000000
outlays,army,6.16,constant,MILCON,1966,7113000000
outlays,army,6.16,constant,family.housing,1966,0
outlays,army,6.16,constant,revolving.and.management,1966,0
outlays,army,6.16,current,MILPERS,1967,7353000000
outlays,army,6.16,current,O.M.,1967,7520000000
outlays,army,6.16,current,Procurement,1967,5411000000
outlays,army,6.16,current,RDT.E,1967,1580000000
outlays,army,6.16,current,MILCON,1967,505000000
outlays,army,6.16,current,family.housing,1967,0
outlays,army,6.16,current,revolving.and.management,1967,0
outlays,army,6.16,constant,MILPERS,1967,87043000000
outlays,army,6.16,constant,O.M.,1967,57030000000
outlays,army,6.16,constant,Procurement,1967,35124000000
outlays,army,6.16,constant,RDT.E,1967,10735000000
outlays,army,6.16,constant,MILCON,1967,3184000000
outlays,army,6.16,constant,family.housing,1967,0
outlays,army,6.16,constant,revolving.and.management,1967,0
outlays,army,6.16,current,MILPERS,1968,8391000000
outlays,army,6.16,current,O.M.,1968,8372000000
outlays,army,6.16,current,Procurement,1968,6182000000
outlays,army,6.16,current,RDT.E,1968,1506000000
outlays,army,6.16,current,MILCON,1968,512000000
outlays,army,6.16,current,family.housing,1968,0
outlays,army,6.16,current,revolving.and.management,1968,0
outlays,army,6.16,constant,MILPERS,1968,93978000000
outlays,army,6.16,constant,O.M.,1968,61540000000
outlays,army,6.16,constant,Procurement,1968,38815000000
outlays,army,6.16,constant,RDT.E,1968,9917000000
outlays,army,6.16,constant,MILCON,1968,3072000000
outlays,army,6.16,constant,family.housing,1968,0
outlays,army,6.16,constant,revolving.and.management,1968,0
outlays,army,6.16,current,MILPERS,1969,8998000000
outlays,army,6.16,current,O.M.,1969,8249000000
outlays,army,6.16,current,Procurement,1969,6333000000
outlays,army,6.16,current,RDT.E,1969,1666000000
outlays,army,6.16,current,MILCON,1969,523000000
outlays,army,6.16,current,family.housing,1969,0
outlays,army,6.16,current,revolving.and.management,1969,0
outlays,army,6.16,constant,MILPERS,1969,95498000000
outlays,army,6.16,constant,O.M.,1969,58335000000
outlays,army,6.16,constant,Procurement,1969,38577000000
outlays,army,6.16,constant,RDT.E,1969,10562000000
outlays,army,6.16,constant,MILCON,1969,2974000000
outlays,army,6.16,constant,family.housing,1969,0
outlays,army,6.16,constant,revolving.and.management,1969,0
outlays,army,6.16,current,MILPERS,1970,9616000000
outlays,army,6.16,current,O.M.,1970,7817000000
outlays,army,6.16,current,Procurement,1970,4510000000
outlays,army,6.16,current,RDT.E,1970,1619000000
outlays,army,6.16,current,MILCON,1970,402000000
outlays,army,6.16,current,family.housing,1970,0
outlays,army,6.16,current,revolving.and.management,1970,0
outlays,army,6.16,constant,MILPERS,1970,91157000000
outlays,army,6.16,constant,O.M.,1970,52308000000
outlays,army,6.16,constant,Procurement,1970,26400000000
outlays,army,6.16,constant,RDT.E,1970,9792000000
outlays,army,6.16,constant,MILCON,1970,2242000000
outlays,army,6.16,constant,family.housing,1970,0
outlays,army,6.16,constant,revolving.and.management,1970,0
outlays,army,6.16,current,MILPERS,1971,9499000000
outlays,army,6.16,current,O.M.,1971,7119000000
outlays,army,6.16,current,Procurement,1971,3412000000
outlays,army,6.16,current,RDT.E,1971,1656000000
outlays,army,6.16,current,MILCON,1971,593000000
outlays,army,6.16,current,family.housing,1971,0
outlays,army,6.16,current,revolving.and.management,1971,0
outlays,army,6.16,constant,MILPERS,1971,84219000000
outlays,army,6.16,constant,O.M.,1971,45367000000
outlays,army,6.16,constant,Procurement,1971,19080000000
outlays,army,6.16,constant,RDT.E,1971,9457000000
outlays,army,6.16,constant,MILCON,1971,2937000000
outlays,army,6.16,constant,family.housing,1971,0
outlays,army,6.16,constant,revolving.and.management,1971,0
outlays,army,6.16,current,MILPERS,1972,9046000000
outlays,army,6.16,current,O.M.,1972,7309000000
outlays,army,6.16,current,Procurement,1972,3398000000
outlays,army,6.16,current,RDT.E,1972,1792000000
outlays,army,6.16,current,MILCON,1972,550000000
outlays,army,6.16,current,family.housing,1972,0
outlays,army,6.16,current,revolving.and.management,1972,0
outlays,army,6.16,constant,MILPERS,1972,70955000000
outlays,army,6.16,constant,O.M.,1972,44374000000
outlays,army,6.16,constant,Procurement,1972,17693000000
outlays,army,6.16,constant,RDT.E,1972,9673000000
outlays,army,6.16,constant,MILCON,1972,2527000000
outlays,army,6.16,constant,family.housing,1972,0
outlays,army,6.16,constant,revolving.and.management,1972,0
outlays,army,6.16,current,MILPERS,1973,8680000000
outlays,army,6.16,current,O.M.,1973,7433000000
outlays,army,6.16,current,Procurement,1973,2816000000
outlays,army,6.16,current,RDT.E,1973,1885000000
outlays,army,6.16,current,MILCON,1973,666000000
outlays,army,6.16,current,family.housing,1973,0
outlays,army,6.16,current,revolving.and.management,1973,0
outlays,army,6.16,constant,MILPERS,1973,61577000000
outlays,army,6.16,constant,O.M.,1973,42286000000
outlays,army,6.16,constant,Procurement,1973,13570000000
outlays,army,6.16,constant,RDT.E,1973,9531000000
outlays,army,6.16,constant,MILCON,1973,2762000000
outlays,army,6.16,constant,family.housing,1973,0
outlays,army,6.16,constant,revolving.and.management,1973,0
outlays,army,6.16,current,MILPERS,1974,8815000000
outlays,army,6.16,current,O.M.,1974,7364000000
outlays,army,6.16,current,Procurement,1974,2640000000
outlays,army,6.16,current,RDT.E,1974,1947000000
outlays,army,6.16,current,MILCON,1974,782000000
outlays,army,6.16,current,family.housing,1974,0
outlays,army,6.16,current,revolving.and.management,1974,0
outlays,army,6.16,constant,MILPERS,1974,58800000000
outlays,army,6.16,constant,O.M.,1974,38338000000
outlays,army,6.16,constant,Procurement,1974,11683000000
outlays,army,6.16,constant,RDT.E,1974,8864000000
outlays,army,6.16,constant,MILCON,1974,2867000000
outlays,army,6.16,constant,family.housing,1974,0
outlays,army,6.16,constant,revolving.and.management,1974,0
outlays,army,6.16,current,MILPERS,1975,9221000000
outlays,army,6.16,current,O.M.,1975,7339000000
outlays,army,6.16,current,Procurement,1975,2565000000
outlays,army,6.16,current,RDT.E,1975,1766000000
