source.table,fy,current.constant,usa.or.foreign,direct.indirect.hire,pay.type,amount
tbl_6-14,2018,current,foreign,direct.hire,foreign.nationals.direct.hire,601519000
tbl_6-14,2018,current,foreign,indirect.hire,foreign.national.indirect.hire,897096000
tbl_6-14,2019,current,us,direct.hire,general.schedule,75877403000
tbl_6-14,2019,current,us,direct.hire,wage.board,10999515000
tbl_6-14,2019,current,foreign,direct.hire,foreign.nationals.direct.hire,643164000
tbl_6-14,2019,current,foreign,indirect.hire,foreign.national.indirect.hire,1152485000
tbl_6-14,2020,current,us,direct.hire,general.schedule,77415379000
tbl_6-14,2020,current,us,direct.hire,wage.board,10657617000
tbl_6-14,2020,current,foreign,direct.hire,foreign.nationals.direct.hire,436005000
tbl_6-14,2020,current,foreign,indirect.hire,foreign.national.indirect.hire,1013620000
tbl_6-14,2021,current,us,direct.hire,general.schedule,80449612000
tbl_6-14,2021,current,us,direct.hire,wage.board,10735991000
tbl_6-14,2021,current,foreign,direct.hire,foreign.nationals.direct.hire,585223000
tbl_6-14,2021,current,foreign,indirect.hire,foreign.national.indirect.hire,964239000
tbl_6-14,2022,current,us,direct.hire,general.schedule,82389507000
tbl_6-14,2022,current,us,direct.hire,wage.board,10966014000
tbl_6-14,2022,current,foreign,direct.hire,foreign.nationals.direct.hire,597711000
tbl_6-14,2022,current,foreign,indirect.hire,foreign.national.indirect.hire,985618000
tbl_6-14,2023,current,us,direct.hire,general.schedule,84105336000
tbl_6-14,2023,current,us,direct.hire,wage.board,11194390000
tbl_6-14,2023,current,foreign,direct.hire,foreign.nationals.direct.hire,610263000
tbl_6-14,2023,current,foreign,indirect.hire,foreign.national.indirect.hire,1006316000
tbl_6-14,2024,current,us,direct.hire,general.schedule,85851375000
tbl_6-14,2024,current,us,direct.hire,wage.board,11426787000
tbl_6-14,2024,current,foreign,direct.hire,foreign.nationals.direct.hire,623078000
tbl_6-14,2024,current,foreign,indirect.hire,foreign.national.indirect.hire,1028025000
tbl_6-14,2025,current,us,direct.hire,general.schedule,87585526000
tbl_6-14,2025,current,us,direct.hire,wage.board,11657602000
tbl_6-14,2025,current,foreign,direct.hire,foreign.nationals.direct.hire,636163000
tbl_6-14,2025,current,foreign,indirect.hire,foreign.national.indirect.hire,1049025000
tbl_6-15,1970,constant,us,direct.hire,general.schedule,46183579000
tbl_6-15,1970,constant,us,direct.hire,wage.board,38401889000
tbl_6-15,1970,constant,foreign,direct.hire,foreign.nationals.direct.hire,4278842000
tbl_6-15,1970,constant,foreign,indirect.hire,foreign.national.indirect.hire,4605972000
tbl_6-15,1971,constant,us,direct.hire,general.schedule,45269061000
tbl_6-15,1971,constant,us,direct.hire,wage.board,35077655000
tbl_6-15,1971,constant,foreign,direct.hire,foreign.nationals.direct.hire,3527960000
tbl_6-15,1971,constant,foreign,indirect.hire,foreign.national.indirect.hire,4260684000
tbl_6-15,1972,constant,us,direct.hire,general.schedule,46349294000
tbl_6-15,1972,constant,us,direct.hire,wage.board,32611785000
tbl_6-15,1972,constant,foreign,direct.hire,foreign.nationals.direct.hire,2995854000
tbl_6-15,1972,constant,foreign,indirect.hire,foreign.national.indirect.hire,4125785000
tbl_6-15,1973,constant,us,direct.hire,general.schedule,44957833000
tbl_6-15,1973,constant,us,direct.hire,wage.board,31679803000
tbl_6-15,1973,constant,foreign,direct.hire,foreign.nationals.direct.hire,2152835000
tbl_6-15,1973,constant,foreign,indirect.hire,foreign.national.indirect.hire,4525656000
tbl_6-15,1974,constant,us,direct.hire,general.schedule,44519350000
tbl_6-15,1974,constant,us,direct.hire,wage.board,29429669000
tbl_6-15,1974,constant,foreign,direct.hire,foreign.nationals.direct.hire,1572372000
tbl_6-15,1974,constant,foreign,indirect.hire,foreign.national.indirect.hire,4168364000
tbl_6-15,1975,constant,us,direct.hire,general.schedule,45311243000
tbl_6-15,1975,constant,us,direct.hire,wage.board,29326914000
tbl_6-15,1975,constant,foreign,direct.hire,foreign.nationals.direct.hire,1526538000
tbl_6-15,1975,constant,foreign,indirect.hire,foreign.national.indirect.hire,3797399000
tbl_6-15,1976,constant,us,direct.hire,general.schedule,45769625000
tbl_6-15,1976,constant,us,direct.hire,wage.board,28210970000
tbl_6-15,1976,constant,foreign,direct.hire,foreign.nationals.direct.hire,1482935000
