budget.type,service,source.table,deflator.type,public.law.title,FY,amount
outlays,army,6.22,current,trust.receipts.and.other,1965,-48000000
outlays,army,6.22,constant,MILPERS,1965,65777000000
outlays,army,6.22,constant,O.M.,1965,33059000000
outlays,army,6.22,constant,Procurement,1965,12317000000
outlays,army,6.22,constant,RDT.E,1965,9918000000
outlays,army,6.22,constant,MILCON,1965,1640000000
outlays,army,6.22,constant,family.housing,1965,0
outlays,army,6.22,constant,revolving.and.management,1965,-701000000
outlays,army,6.22,constant,trust.receipts.and.other,1965,-329000000
outlays,army,6.22,current,MILPERS,1966,5505000000
outlays,army,6.22,current,O.M.,1966,4752000000
outlays,army,6.22,current,Procurement,1966,2671000000
outlays,army,6.22,current,RDT.E,1966,1412000000
outlays,army,6.22,current,MILCON,1966,332000000
outlays,army,6.22,current,family.housing,1966,0
outlays,army,6.22,current,revolving.and.management,1966,160000000
outlays,army,6.22,current,trust.receipts.and.other,1966,-100000000
outlays,army,6.22,constant,MILPERS,1966,70459000000
outlays,army,6.22,constant,O.M.,1966,40020000000
outlays,army,6.22,constant,Procurement,1966,18023000000
outlays,army,6.22,constant,RDT.E,1966,10106000000
outlays,army,6.22,constant,MILCON,1966,2351000000
outlays,army,6.22,constant,family.housing,1966,0
outlays,army,6.22,constant,revolving.and.management,1966,1059000000
outlays,army,6.22,constant,trust.receipts.and.other,1966,-663000000
outlays,army,6.22,current,MILPERS,1967,7300000000
outlays,army,6.22,current,O.M.,1967,7293000000
outlays,army,6.22,current,Procurement,1967,4390000000
outlays,army,6.22,current,RDT.E,1967,1634000000
outlays,army,6.22,current,MILCON,1967,448000000
outlays,army,6.22,current,family.housing,1967,0
outlays,army,6.22,current,revolving.and.management,1967,-55000000
outlays,army,6.22,current,trust.receipts.and.other,1967,-52000000
outlays,army,6.22,constant,MILPERS,1967,86740000000
outlays,army,6.22,constant,O.M.,1967,55869000000
outlays,army,6.22,constant,Procurement,1967,28593000000
outlays,army,6.22,constant,RDT.E,1967,11233000000
outlays,army,6.22,constant,MILCON,1967,3007000000
outlays,army,6.22,constant,family.housing,1967,0
outlays,army,6.22,constant,revolving.and.management,1967,-352000000
outlays,army,6.22,constant,trust.receipts.and.other,1967,-335000000
outlays,army,6.22,current,MILPERS,1968,8332000000
outlays,army,6.22,current,O.M.,1968,8205000000
outlays,army,6.22,current,Procurement,1968,5841000000
outlays,army,6.22,current,RDT.E,1968,1434000000
outlays,army,6.22,current,MILCON,1968,678000000
outlays,army,6.22,current,family.housing,1968,0
outlays,army,6.22,current,revolving.and.management,1968,804000000
outlays,army,6.22,current,trust.receipts.and.other,1968,-72000000
outlays,army,6.22,constant,MILPERS,1968,93658000000
outlays,army,6.22,constant,O.M.,1968,60824000000
outlays,army,6.22,constant,Procurement,1968,36706000000
outlays,army,6.22,constant,RDT.E,1968,9617000000
outlays,army,6.22,constant,MILCON,1968,4329000000
outlays,army,6.22,constant,family.housing,1968,0
outlays,army,6.22,constant,revolving.and.management,1968,4976000000
outlays,army,6.22,constant,trust.receipts.and.other,1968,-445000000
outlays,army,6.22,current,MILPERS,1969,9047000000
outlays,army,6.22,current,O.M.,1969,8300000000
outlays,army,6.22,current,Procurement,1969,6117000000
outlays,army,6.22,current,RDT.E,1969,1521000000
outlays,army,6.22,current,MILCON,1969,460000000
outlays,army,6.22,current,family.housing,1969,0
outlays,army,6.22,current,revolving.and.management,1969,-348000000
outlays,army,6.22,current,trust.receipts.and.other,1969,-64000000
outlays,army,6.22,constant,MILPERS,1969,95853000000
outlays,army,6.22,constant,O.M.,1969,59100000000
outlays,army,6.22,constant,Procurement,1969,37280000000
outlays,army,6.22,constant,RDT.E,1969,9913000000
outlays,army,6.22,constant,MILCON,1969,2885000000
outlays,army,6.22,constant,family.housing,1969,0
outlays,army,6.22,constant,revolving.and.management,1969,-2086000000
outlays,army,6.22,constant,trust.receipts.and.other,1969,-386000000
outlays,army,6.22,current,MILPERS,1970,9701000000
outlays,army,6.22,current,O.M.,1970,7879000000
outlays,army,6.22,current,Procurement,1970,5206000000
outlays,army,6.22,current,RDT.E,1970,1665000000
outlays,army,6.22,current,MILCON,1970,458000000
outlays,army,6.22,current,family.housing,1970,0
outlays,army,6.22,current,revolving.and.management,1970,-113000000
outlays,army,6.22,current,trust.receipts.and.other,1970,-48000000
outlays,army,6.22,constant,MILPERS,1970,91713000000
outlays,army,6.22,constant,O.M.,1970,53113000000
outlays,army,6.22,constant,Procurement,1970,30417000000
outlays,army,6.22,constant,RDT.E,1970,10298000000
outlays,army,6.22,constant,MILCON,1970,2788000000
outlays,army,6.22,constant,family.housing,1970,0
outlays,army,6.22,constant,revolving.and.management,1970,-654000000
outlays,army,6.22,constant,trust.receipts.and.other,1970,-274000000
outlays,army,6.22,current,MILPERS,1971,9399000000
outlays,army,6.22,current,O.M.,1971,7443000000
outlays,army,6.22,current,Procurement,1971,4357000000
outlays,army,6.22,current,RDT.E,1971,1569000000
outlays,army,6.22,current,MILCON,1971,502000000
outlays,army,6.22,current,family.housing,1971,0
outlays,army,6.22,current,revolving.and.management,1971,-146000000
outlays,army,6.22,current,trust.receipts.and.other,1971,-48000000
outlays,army,6.22,constant,MILPERS,1971,83711000000
outlays,army,6.22,constant,O.M.,1971,47490000000
outlays,army,6.22,constant,Procurement,1971,24294000000
outlays,army,6.22,constant,RDT.E,1971,9229000000
outlays,army,6.22,constant,MILCON,1971,2872000000
outlays,army,6.22,constant,family.housing,1971,0
outlays,army,6.22,constant,revolving.and.management,1971,-804000000
outlays,army,6.22,constant,trust.receipts.and.other,1971,-264000000
outlays,army,6.22,current,MILPERS,1972,9005000000
outlays,army,6.22,current,O.M.,1972,7554000000
outlays,army,6.22,current,Procurement,1972,3894000000
