source.table,budget.type,deflator.type,public.law.title,FY,amount
tbl.6.01.TOA.by.Public.Law,TOA,constant,OM,1956,117007000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,procurement,1956,107389000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,RDTE,1956,29835000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,MILCON,1956,16498000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,family.housing,1956,198000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,revolving.and.management.funds,1956,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,trust.receipts.and.other,1956,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,OCO.placeholder,1956,0
tbl.6.01.TOA.by.Public.Law,TOA,current,military.personnel,1957,10945000000
tbl.6.01.TOA.by.Public.Law,TOA,current,retired.pay.Defense,1957,511000000
tbl.6.01.TOA.by.Public.Law,TOA,current,OM,1957,9614000000
tbl.6.01.TOA.by.Public.Law,TOA,current,procurement,1957,12221000000
tbl.6.01.TOA.by.Public.Law,TOA,current,RDTE,1957,4381000000
tbl.6.01.TOA.by.Public.Law,TOA,current,MILCON,1957,2048000000
tbl.6.01.TOA.by.Public.Law,TOA,current,family.housing,1957,3000000
tbl.6.01.TOA.by.Public.Law,TOA,current,revolving.and.management.funds,1957,0
tbl.6.01.TOA.by.Public.Law,TOA,current,trust.receipts.and.other,1957,0
tbl.6.01.TOA.by.Public.Law,TOA,current,OCO.placeholder,1957,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,military.personnel,1957,192906000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,retired.pay.Defense,1957,5514000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OM,1957,117642000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,procurement,1957,107202000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,RDTE,1957,34975000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,MILCON,1957,15872000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,family.housing,1957,34000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,revolving.and.management.funds,1957,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,trust.receipts.and.other,1957,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,OCO.placeholder,1957,0
tbl.6.01.TOA.by.Public.Law,TOA,current,military.personnel,1958,10987000000
tbl.6.01.TOA.by.Public.Law,TOA,current,retired.pay.Defense,1958,561000000
tbl.6.01.TOA.by.Public.Law,TOA,current,OM,1958,10112000000
tbl.6.01.TOA.by.Public.Law,TOA,current,procurement,1958,13628000000
tbl.6.01.TOA.by.Public.Law,TOA,current,RDTE,1958,4159000000
tbl.6.01.TOA.by.Public.Law,TOA,current,MILCON,1958,1634000000
tbl.6.01.TOA.by.Public.Law,TOA,current,family.housing,1958,42000000
tbl.6.01.TOA.by.Public.Law,TOA,current,revolving.and.management.funds,1958,0
tbl.6.01.TOA.by.Public.Law,TOA,current,trust.receipts.and.other,1958,0
tbl.6.01.TOA.by.Public.Law,TOA,current,OCO.placeholder,1958,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,military.personnel,1958,183640000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,retired.pay.Defense,1958,6002000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OM,1958,117652000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,procurement,1958,120453000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,RDTE,1958,33022000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,MILCON,1958,12732000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,family.housing,1958,307000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,revolving.and.management.funds,1958,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,trust.receipts.and.other,1958,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,OCO.placeholder,1958,0
tbl.6.01.TOA.by.Public.Law,TOA,current,military.personnel,1959,11294000000
tbl.6.01.TOA.by.Public.Law,TOA,current,retired.pay.Defense,1959,635000000
tbl.6.01.TOA.by.Public.Law,TOA,current,OM,1959,10214000000
tbl.6.01.TOA.by.Public.Law,TOA,current,procurement,1959,13118000000
tbl.6.01.TOA.by.Public.Law,TOA,current,RDTE,1959,5144000000
tbl.6.01.TOA.by.Public.Law,TOA,current,MILCON,1959,1748000000
tbl.6.01.TOA.by.Public.Law,TOA,current,family.housing,1959,42000000
tbl.6.01.TOA.by.Public.Law,TOA,current,revolving.and.management.funds,1959,0
tbl.6.01.TOA.by.Public.Law,TOA,current,trust.receipts.and.other,1959,0
tbl.6.01.TOA.by.Public.Law,TOA,current,OCO.placeholder,1959,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,military.personnel,1959,177397000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,retired.pay.Defense,1959,6346000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OM,1959,114860000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,procurement,1959,115518000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,RDTE,1959,39832000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,MILCON,1959,13498000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,family.housing,1959,298000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,revolving.and.management.funds,1959,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,trust.receipts.and.other,1959,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,OCO.placeholder,1959,0
tbl.6.01.TOA.by.Public.Law,TOA,current,military.personnel,1960,11241000000
tbl.6.01.TOA.by.Public.Law,TOA,current,retired.pay.Defense,1960,693000000
tbl.6.01.TOA.by.Public.Law,TOA,current,OM,1960,10329000000
tbl.6.01.TOA.by.Public.Law,TOA,current,procurement,1960,11137000000
tbl.6.01.TOA.by.Public.Law,TOA,current,RDTE,1960,5476000000
tbl.6.01.TOA.by.Public.Law,TOA,current,MILCON,1960,1350000000
tbl.6.01.TOA.by.Public.Law,TOA,current,family.housing,1960,32000000
tbl.6.01.TOA.by.Public.Law,TOA,current,revolving.and.management.funds,1960,0
tbl.6.01.TOA.by.Public.Law,TOA,current,trust.receipts.and.other,1960,0
tbl.6.01.TOA.by.Public.Law,TOA,current,OCO.placeholder,1960,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,military.personnel,1960,174372000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,retired.pay.Defense,1960,6987000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OM,1960,112502000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,procurement,1960,97006000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,RDTE,1960,41736000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,MILCON,1960,10409000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,family.housing,1960,228000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,revolving.and.management.funds,1960,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,trust.receipts.and.other,1960,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,OCO.placeholder,1960,0
