source.table,budget.type,deflator.type,public.law.title,FY,amount
tbl.6.08_BA.by.Public.Law.Title,BA,current,revolving.and.management.funds,1959,0
tbl.6.08_BA.by.Public.Law.Title,BA,current,trust.receipts.and.other,1959,234000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,OCO.placeholder,1959,0
tbl.6.08_BA.by.Public.Law.Title,BA,constant,military.personnel,1959,174098000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,retired.pay.Defense,1959,6400000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,OM,1959,115316000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,procurement,1959,111889000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,RDTE,1959,40796000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,MILCON,1959,10824000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,family.housing,1959,402000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,revolving.and.management.funds,1959,0
tbl.6.08_BA.by.Public.Law.Title,BA,constant,trust.receipts.and.other,1959,1631000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,OCO.placeholder,1959,0
tbl.6.08_BA.by.Public.Law.Title,BA,current,military.personnel,1960,10881000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,retired.pay.Defense,1960,715000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,OM,1960,10317000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,procurement,1960,11596000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,RDTE,1960,5725000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,MILCON,1960,1364000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,family.housing,1960,30000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,revolving.and.management.funds,1960,0
tbl.6.08_BA.by.Public.Law.Title,BA,current,trust.receipts.and.other,1960,279000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,OCO.placeholder,1960,0
tbl.6.08_BA.by.Public.Law.Title,BA,constant,military.personnel,1960,171842000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,retired.pay.Defense,1960,7209000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,OM,1960,112402000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,procurement,1960,99287000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,RDTE,1960,43502000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,MILCON,1960,10509000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,family.housing,1960,215000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,revolving.and.management.funds,1960,0
tbl.6.08_BA.by.Public.Law.Title,BA,constant,trust.receipts.and.other,1960,1961000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,OCO.placeholder,1960,0
tbl.6.08_BA.by.Public.Law.Title,BA,current,military.personnel,1961,10989000000
